K,AR_mean,RMSE,R2,MALE,QLIKE
3,0.46042827683052207,5.963849682305598,0.24470947378239072,195.41887774193393,1.5253559118085578
4,0.4918540351601575,5.948178377049645,0.2486736370954825,195.5405697971338,1.5255229215601045
5,0.5168873686421837,5.96036487134664,0.24559188224732187,195.4837223391961,1.525335237245704
6,0.5385310970541844,5.576871549825155,0.3395469602674899,196.0331698675702,1.5345523867552047
8,0.5733926620640651,5.901772170944717,0.2603512281561393,195.43676197213708,1.5255457018221967
10,0.6010219216074765,5.9167203211169355,0.2565996828477096,195.43269943195926,1.5254884745730564
