Horizon,Model,in_MCS_QLIKE,p_QLIKE,in_MCS_MSE,p_MSE,in_MCS_QLIKE_75,p_QLIKE_75,in_MCS_MSE_75,p_MSE_75,MCS_p_value_note
1,HAR,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,HAR_SVD_T1,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,HAR+SVD,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,HAR+SVD_OSI,True,0.124,True,0.474,False,0.132,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,HAR_SVD_T3,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,DNN_HAR,True,0.124,True,0.474,False,0.135,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,DNN_HAR+SVD,False,0.015,True,0.474,False,0.021,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,GARCH,False,0.011,True,0.474,False,0.01,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,GJR-GARCH-t,False,0.013,True,0.474,False,0.012,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,Combo_EqWt,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,Combo_InvMSE,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,Combo_BG,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,LSTM_HAR,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,LSTM_HAR+SVD,False,0.0,True,0.474,False,0.0,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,HARNet,False,0.012,True,0.474,False,0.006,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
1,GNN,True,0.124,True,0.474,True,0.432,True,0.462,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
