svd_window,model,RMSE,R2,MALE,QLIKE,w_har,w_har_lo,w_har_hi,n_boot
126,HAR,6.00964639891069,0.22047900274230525,193.79741633606488,1.5392841599199385,,,,
126,HAR+SVD,5.90816983756068,0.24658212191266193,192.8174755180212,1.5252988731348809,,,,
252,HAR,6.053417412851945,0.22185254136382637,194.25763598355928,1.52635918200198,,,,
252,HAR_SVD_T1,6.144870378560568,0.19816296310683224,193.9254962032791,1.5254784406948307,,,,
252,HAR+SVD,5.576871549825155,0.3395469602674899,196.0331698675702,1.5345523867552047,,,,
252,HAR+SVD_OSI,5.795131772847693,0.28683948269838866,195.42890262707337,1.531486537002682,,,,
252,HAR_SVD_T3,5.773877880712152,0.292060983099534,195.6572899937803,1.5204316425875368,,,,
252,DNN_HAR,6.147695652207325,0.1974254602135631,193.58838013413666,1.5461117046994663,,,,
252,DNN_HAR+SVD,6.21054723824087,0.18093117013354343,194.1963607164156,1.5602739628912572,,,,
252,LSTM_HAR,6.129579408879631,0.2021485999136231,191.74146641095356,1.4911200975190562,,,,
252,LSTM_HAR+SVD,6.264173844854756,0.16672516979155405,192.03730858560593,1.5163250450511843,,,,
252,HARNet,6.1552359180016785,0.19545550694677594,192.30648332918005,1.4932287219405085,,,,
252,GNN,6.1355272339328515,0.20059946167322285,200.6632474832328,1.5326629207800098,,,,
252,GARCH,6.191472515798975,0.18595472680579006,183.0990030345767,1.625683256700844,,,,
252,GJR-GARCH-t,5.911284234479395,0.25796507849127925,183.1683901995641,1.5664242211450001,,,,
252,Combo_EqWt,5.749504285529044,0.29802529324853955,195.14023799126656,1.525736626284014,,,,
252,Combo_InvMSE,5.746903674924494,0.298660182765057,195.14945349506309,1.5257900634591173,,,,
252,Combo_BG,5.576871549825155,0.3395469602674899,196.0331698675702,1.5345523867552047,,,,
252,Combo_BG_meta,,,,,0.0,0.0,1.0,999.0
252,HAR+SVD_minus_G2_svd,5.774740492077897,0.29184943658883566,196.17048638643365,1.5294211964620994,,,,
252,HAR+SVD_minus_G3_ixn,5.850007217669394,0.2732693720091429,196.25673820288944,1.5335879152471041,,,,
252,HAR+SVD_minus_G1_eigen,5.754754782200005,0.2967426091799804,195.49418216900537,1.530457441177148,,,,
252,HAR+SVD_minus_G4_xs,5.576871549825155,0.3395469602674899,196.0331698675702,1.5345523867552047,,,,
