Horizon,Model,in_MCS_QLIKE,p_QLIKE,in_MCS_MSE,p_MSE,in_MCS_QLIKE_75,p_QLIKE_75,in_MCS_MSE_75,p_MSE_75,MCS_p_value_note
22,HAR,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,HAR_SVD_T1,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,HAR+SVD,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,HAR+SVD_OSI,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,HAR_SVD_T3,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,DNN_HAR,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,DNN_HAR+SVD,False,0.052,True,0.317,False,0.054,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,GARCH,False,0.062,True,0.317,False,0.059,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,GJR-GARCH-t,True,0.153,True,0.317,False,0.143,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,Combo_EqWt,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,Combo_InvMSE,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,Combo_BG,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,LSTM_HAR,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,LSTM_HAR+SVD,True,0.153,True,0.317,False,0.223,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,HARNet,True,0.153,True,0.317,False,0.216,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
22,GNN,True,0.153,True,0.317,True,0.544,True,0.338,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
